driveline,hybrid,city.mpg,fuel.type,highway.mpg,class,make,year,horsepower,torque
Front-wheel drive,TRUE,18,Gasoline,27,Automatic transmission,Volvo,2010,235,236
Front-wheel drive,TRUE,21,Gasoline,30,Automatic transmission,Volvo,2011,227,236
All-wheel drive,TRUE,20,Gasoline,26,Manual transmission,Volvo,2010,227,236
Front-wheel drive,TRUE,20,Gasoline,31,Automatic transmission,Volvo,2010,168,170
All-wheel drive,TRUE,17,Gasoline,22,Automatic transmission,Volvo,2011,300,325
Front-wheel drive,TRUE,18,Gasoline,25,Automatic transmission,Volvo,2011,240,236
All-wheel drive,TRUE,16,Gasoline,21,Automatic transmission,Volvo,2010,281,295
Front-wheel drive,TRUE,18,Gasoline,27,Automatic transmission,Volvo,2010,235,236
Front-wheel drive,TRUE,18,Gasoline,25,Automatic transmission,Volvo,2011,240,236
All-wheel drive,TRUE,17,Gasoline,22,Automatic transmission,Volvo,2011,300,325
All-wheel drive,TRUE,16,Gasoline,21,Automatic transmission,Volvo,2010,281,295
All-wheel drive,TRUE,16,Gasoline,22,Automatic transmission,Volvo,2010,235,236
Rear-wheel drive,TRUE,17,Gasoline,23,Automatic transmission,Toyota,2011,270,278
Four-wheel drive,TRUE,17,Gasoline,22,Automatic transmission,Toyota,2011,270,278
Four-wheel drive,TRUE,17,Gasoline,22,Automatic transmission,Toyota,2011,270,278
Rear-wheel drive,TRUE,17,Gasoline,23,Automatic transmission,Toyota,2011,270,278
Four-wheel drive,TRUE,17,Gasoline,22,Automatic transmission,Toyota,2011,270,278
Front-wheel drive,TRUE,16,Gasoline,22,Automatic transmission,Volvo,2011,240,236
All-wheel drive,TRUE,14,Gasoline,21,Automatic transmission,Volvo,2011,311,325
Front-wheel drive,TRUE,15,Gasoline,22,Automatic transmission,Volvo,2010,235,236
All-wheel drive,TRUE,13,Gasoline,19,Automatic transmission,Volvo,2010,311,325
Front-wheel drive,TRUE,18,Gasoline,27,Automatic transmission,Volvo,2010,235,236
Rear-wheel drive,TRUE,18,Gasoline,23,Automatic transmission,Toyota,2010,157,178
Rear-wheel drive,TRUE,17,Gasoline,23,Automatic transmission,Toyota,2010,270,278
Four-wheel drive,TRUE,17,Gasoline,22,Automatic transmission,Toyota,2010,270,278
Four-wheel drive,TRUE,17,Gasoline,22,Automatic transmission,Toyota,2010,270,278
Rear-wheel drive,TRUE,17,Gasoline,23,Automatic transmission,Toyota,2010,270,278
Four-wheel drive,TRUE,17,Gasoline,22,Automatic transmission,Toyota,2010,270,278
Front-wheel drive,TRUE,21,Gasoline,30,Manual transmission,Audi,2012,200,207
Front-wheel drive,TRUE,17,Gasoline,25,Manual transmission,Honda,2010,271,251
Front-wheel drive,TRUE,21,Gasoline,31,Automatic transmission,Honda,2010,190,162
Front-wheel drive,TRUE,22,Gasoline,31,Manual transmission,Honda,2010,190,162
Front-wheel drive,TRUE,21,Gasoline,31,Automatic transmission,Honda,2010,190,162
Front-wheel drive,TRUE,19,Gasoline,28,Automatic transmission,Honda,2010,271,251
Front-wheel drive,TRUE,22,Gasoline,31,Manual transmission,Honda,2010,190,162
Front-wheel drive,TRUE,21,Gasoline,31,Automatic transmission,Honda,2010,190,162
Front-wheel drive,TRUE,22,Gasoline,31,Manual transmission,Honda,2010,190,162
Rear-wheel drive,TRUE,18,Gasoline,25,Manual transmission,Nissan,2011,332,270
Rear-wheel drive,TRUE,18,Gasoline,25,Automatic transmission,Nissan,2011,332,270
Rear-wheel drive,TRUE,18,Gasoline,25,Manual transmission,Nissan,2011,332,270
Rear-wheel drive,TRUE,18,Gasoline,25,Automatic transmission,Nissan,2011,332,270
Rear-wheel drive,TRUE,18,Gasoline,25,Manual transmission,Nissan,2010,332,270
Rear-wheel drive,TRUE,18,Gasoline,25,Manual transmission,Nissan,2010,332,270
Rear-wheel drive,TRUE,18,Gasoline,25,Automatic transmission,Nissan,2010,332,270
Rear-wheel drive,TRUE,18,Gasoline,25,Automatic transmission,Nissan,2010,332,270
Front-wheel drive,TRUE,21,Gasoline,30,Manual transmission,Audi,2011,200,207
Rear-wheel drive,TRUE,18,Gasoline,26,Manual transmission,Nissan,2011,332,270
Rear-wheel drive,TRUE,18,Gasoline,26,Manual transmission,Nissan,2011,332,270
Rear-wheel drive,TRUE,19,Gasoline,26,Automatic transmission,Nissan,2011,332,270
Rear-wheel drive,TRUE,18,Gasoline,26,Manual transmission,Nissan,2011,332,270
Front-wheel drive,TRUE,21,Gasoline,30,Manual transmission,Audi,2010,200,207
Rear-wheel drive,TRUE,19,Gasoline,26,Automatic transmission,Nissan,2010,332,270
Rear-wheel drive,TRUE,18,Gasoline,26,Manual transmission,Nissan,2010,332,270
Rear-wheel drive,TRUE,18,Gasoline,26,Manual transmission,Nissan,2010,332,270
Rear-wheel drive,TRUE,19,Gasoline,26,Automatic transmission,Nissan,2010,332,270
All-wheel drive,TRUE,21,Gasoline,31,Manual transmission,Audi,2012,211,258
All-wheel drive,TRUE,21,Gasoline,29,Automatic transmission,Audi,2012,211,258
All-wheel drive,TRUE,21,Gasoline,31,Manual transmission,Audi,2011,211,258
All-wheel drive,TRUE,21,Gasoline,29,Automatic transmission,Audi,2011,211,258
Front-wheel drive,TRUE,29,Gasoline,38,Manual transmission,Ford,2012,120,112
Front-wheel drive,TRUE,29,Gasoline,38,Manual transmission,Ford,2012,120,112
Front-wheel drive,TRUE,29,Gasoline,38,Manual transmission,Ford,2012,120,112
Front-wheel drive,TRUE,38,Gasoline,37,Manual transmission,Ford,2011,120,112
Front-wheel drive,TRUE,28,Gasoline,37,Manual transmission,Ford,2011,120,112
Front-wheel drive,TRUE,28,Gasoline,37,Manual transmission,Ford,2011,120,112
Front-wheel drive,TRUE,21,Gasoline,30,Automatic transmission,Volvo,2011,227,236
Front-wheel drive,TRUE,21,Gasoline,29,Manual transmission,Volvo,2011,227,236
Front-wheel drive,TRUE,21,Gasoline,30,Automatic transmission,Volvo,2010,227,236
Front-wheel drive,TRUE,21,Gasoline,29,Manual transmission,Volvo,2010,227,236
All-wheel drive,TRUE,21,Gasoline,27,Automatic transmission,Audi,2010,211,258
All-wheel drive,TRUE,22,Gasoline,30,Manual transmission,Audi,2010,211,258
Front-wheel drive,TRUE,21,Gasoline,29,Automatic transmission,Volvo,2010,168,170
All-wheel drive,TRUE,20,Gasoline,27,Automatic transmission,Volvo,2010,227,236
All-wheel drive,TRUE,21,Gasoline,29,Automatic transmission,Audi,2012,211,258
All-wheel drive,TRUE,21,Gasoline,29,Automatic transmission,Audi,2011,211,258
All-wheel drive,TRUE,23,Gasoline,30,Automatic transmission,Audi,2010,211,258
Front-wheel drive,TRUE,23,Gasoline,32,Manual transmission,Honda,2011,190,162
Front-wheel drive,TRUE,22,Gasoline,33,Automatic transmission,Honda,2011,190,162
Front-wheel drive,TRUE,17,Gasoline,26,Manual transmission,Honda,2011,271,251
Front-wheel drive,TRUE,23,Gasoline,32,Manual transmission,Honda,2011,190,162
Front-wheel drive,TRUE,19,Gasoline,29,Automatic transmission,Honda,2011,271,251
Front-wheel drive,TRUE,22,Gasoline,33,Automatic transmission,Honda,2011,190,162
Front-wheel drive,TRUE,22,Gasoline,33,Automatic transmission,Honda,2011,190,162
Front-wheel drive,TRUE,29,Gasoline,38,Manual transmission,Ford,2012,120,112
Front-wheel drive,TRUE,29,Gasoline,38,Manual transmission,Ford,2012,120,112
Front-wheel drive,TRUE,28,Gasoline,37,Manual transmission,Ford,2011,120,112
Front-wheel drive,TRUE,28,Gasoline,37,Manual transmission,Ford,2011,120,112
Front-wheel drive,TRUE,22,Gasoline,31,Manual transmission,Honda,2010,177,161
Front-wheel drive,TRUE,21,Gasoline,31,Automatic transmission,Honda,2010,177,161
Front-wheel drive,TRUE,22,Gasoline,31,Manual transmission,Honda,2010,177,161
Front-wheel drive,TRUE,21,Gasoline,31,Automatic transmission,Honda,2010,177,161
Front-wheel drive,TRUE,22,Gasoline,31,Manual transmission,Honda,2010,190,162
Front-wheel drive,TRUE,21,Gasoline,31,Automatic transmission,Honda,2010,190,162
Front-wheel drive,TRUE,22,Gasoline,31,Manual transmission,Honda,2010,190,162
Front-wheel drive,TRUE,21,Gasoline,31,Automatic transmission,Honda,2010,190,162
Front-wheel drive,TRUE,19,Gasoline,29,Automatic transmission,Honda,2010,271,254
Front-wheel drive,TRUE,20,Gasoline,29,Automatic transmission,Toyota,2011,268,248
Front-wheel drive,TRUE,20,Gasoline,29,Automatic transmission,Toyota,2011,268,248
Rear-wheel drive,TRUE,18,Gasoline,26,Automatic transmission,Nissan,2009,332,270
Rear-wheel drive,TRUE,18,Gasoline,26,Automatic transmission,Nissan,2009,332,270
Rear-wheel drive,TRUE,18,Gasoline,26,Manual transmission,Nissan,2009,332,270
Rear-wheel drive,TRUE,18,Gasoline,26,Manual transmission,Nissan,2009,332,270
Front-wheel drive,TRUE,19,Gasoline,28,Automatic transmission,Toyota,2010,268,248
Front-wheel drive,TRUE,19,Gasoline,28,Automatic transmission,Toyota,2010,268,248
Front-wheel drive,TRUE,19,Gasoline,28,Automatic transmission,Toyota,2010,268,248
Front-wheel drive,TRUE,22,Gasoline,33,Manual transmission,Toyota,2011,169,167
Front-wheel drive,TRUE,22,Gasoline,32,Automatic transmission,Toyota,2011,169,167
Front-wheel drive,TRUE,22,Gasoline,33,Manual transmission,Toyota,2011,169,167
Front-wheel drive,TRUE,22,Gasoline,32,Automatic transmission,Toyota,2011,169,167
Front-wheel drive,TRUE,20,Gasoline,29,Automatic transmission,Toyota,2011,268,248
Front-wheel drive,TRUE,22,Gasoline,33,Manual transmission,Toyota,2011,179,171
Front-wheel drive,TRUE,22,Gasoline,32,Automatic transmission,Toyota,2011,179,171
Front-wheel drive,TRUE,20,Gasoline,29,Automatic transmission,Toyota,2011,268,248
Front-wheel drive,TRUE,22,Gasoline,32,Automatic transmission,Toyota,2011,169,167
Front-wheel drive,TRUE,20,Gasoline,29,Automatic transmission,Toyota,2011,268,248
Front-wheel drive,TRUE,26,Gasoline,36,Manual transmission,Ford,2012,160,146
Front-wheel drive,TRUE,26,Gasoline,36,Manual transmission,Ford,2012,160,146
Front-wheel drive,TRUE,25,Gasoline,35,Manual transmission,Ford,2011,140,136
Front-wheel drive,TRUE,25,Gasoline,34,Automatic transmission,Ford,2011,140,136
Front-wheel drive,TRUE,25,Gasoline,35,Manual transmission,Ford,2011,140,136
Front-wheel drive,TRUE,25,Gasoline,34,Automatic transmission,Ford,2011,140,136
Front-wheel drive,TRUE,25,Gasoline,35,Manual transmission,Ford,2011,140,136
Front-wheel drive,TRUE,25,Gasoline,34,Automatic transmission,Ford,2011,140,136
Front-wheel drive,TRUE,25,Gasoline,34,Automatic transmission,Ford,2011,140,136
Front-wheel drive,TRUE,24,Gasoline,35,Manual transmission,Ford,2010,140,136
Front-wheel drive,TRUE,24,Gasoline,34,Automatic transmission,Ford,2010,140,136
Front-wheel drive,TRUE,24,Gasoline,35,Manual transmission,Ford,2010,140,136
Front-wheel drive,TRUE,24,Gasoline,34,Automatic transmission,Ford,2010,140,136
Front-wheel drive,TRUE,24,Gasoline,35,Manual transmission,Ford,2010,140,136
Front-wheel drive,TRUE,24,Gasoline,34,Automatic transmission,Ford,2010,140,136
Front-wheel drive,TRUE,24,Gasoline,35,Manual transmission,Ford,2010,140,136
Front-wheel drive,TRUE,24,Gasoline,34,Automatic transmission,Ford,2010,140,136
Front-wheel drive,TRUE,23,Gasoline,31,Manual transmission,Nissan,2011,175,180
Front-wheel drive,TRUE,18,Gasoline,27,Manual transmission,Nissan,2011,270,258
All-wheel drive,TRUE,18,Gasoline,26,Automatic transmission,Volvo,2012,300,325
Front-wheel drive,TRUE,20,Gasoline,29,Automatic transmission,Volvo,2012,240,236
All-wheel drive,TRUE,17,Gasoline,23,Automatic transmission,Volvo,2012,325,354
Front-wheel drive,TRUE,19,Gasoline,25,Automatic transmission,Volvo,2012,240,236
All-wheel drive,TRUE,17,Gasoline,23,Automatic transmission,Volvo,2012,300,325
All-wheel drive,TRUE,17,Gasoline,23,Automatic transmission,Volvo,2012,300,325
Front-wheel drive,TRUE,19,Gasoline,25,Automatic transmission,Volvo,2012,240,236
Front-wheel drive,TRUE,16,Gasoline,23,Automatic transmission,Volvo,2012,240,236
Front-wheel drive,TRUE,16,Gasoline,23,Automatic transmission,Volvo,2012,240,236
Front-wheel drive,TRUE,23,Gasoline,32,Manual transmission,Nissan,2010,175,180
Front-wheel drive,TRUE,18,Gasoline,27,Manual transmission,Nissan,2010,270,258
Front-wheel drive,TRUE,22,Gasoline,33,Manual transmission,Toyota,2010,169,167
Front-wheel drive,TRUE,22,Gasoline,32,Automatic transmission,Toyota,2010,169,167
Front-wheel drive,TRUE,22,Gasoline,33,Manual transmission,Toyota,2010,169,167
Front-wheel drive,TRUE,22,Gasoline,32,Automatic transmission,Toyota,2010,169,167
Front-wheel drive,TRUE,19,Gasoline,28,Automatic transmission,Toyota,2010,268,248
Front-wheel drive,TRUE,22,Gasoline,33,Manual transmission,Toyota,2010,179,171
Front-wheel drive,TRUE,22,Gasoline,32,Automatic transmission,Toyota,2010,179,171
Front-wheel drive,TRUE,19,Gasoline,28,Automatic transmission,Toyota,2010,268,248
Front-wheel drive,TRUE,22,Gasoline,32,Automatic transmission,Toyota,2010,169,167
Front-wheel drive,TRUE,19,Gasoline,28,Automatic transmission,Toyota,2010,268,248
Front-wheel drive,TRUE,15,Gasoline,22,Automatic transmission,Volvo,2010,235,236
Front-wheel drive,TRUE,16,Gasoline,22,Automatic transmission,Volvo,2011,240,236
All-wheel drive,TRUE,16,Gasoline,21,Automatic transmission,Volvo,2010,281,295
