driveline,hybrid,city.mpg,fuel.type,highway.mpg,class,make,year,horsepower,torque
Front-wheel drive,TRUE,26,Gasoline,34,Manual transmission,Honda,2010,140,128
Front-wheel drive,TRUE,25,Gasoline,36,Automatic transmission,Honda,2010,140,128
Front-wheel drive,TRUE,26,Gasoline,34,Manual transmission,Honda,2010,140,128
Front-wheel drive,TRUE,25,Gasoline,36,Automatic transmission,Honda,2010,140,128
Front-wheel drive,TRUE,26,Gasoline,34,Manual transmission,Honda,2010,140,128
Front-wheel drive,TRUE,25,Gasoline,36,Automatic transmission,Honda,2010,140,128
Front-wheel drive,TRUE,26,Gasoline,34,Manual transmission,Honda,2010,140,128
Front-wheel drive,TRUE,25,Gasoline,36,Automatic transmission,Honda,2010,140,128
Front-wheel drive,TRUE,26,Gasoline,34,Manual transmission,Honda,2010,140,128
Front-wheel drive,TRUE,25,Gasoline,36,Automatic transmission,Honda,2010,140,128
Front-wheel drive,TRUE,26,Gasoline,34,Manual transmission,Honda,2010,140,128
Front-wheel drive,TRUE,25,Gasoline,36,Automatic transmission,Honda,2010,140,128
Front-wheel drive,TRUE,21,Gasoline,29,Manual transmission,Honda,2010,197,139
Front-wheel drive,TRUE,24,Compressed natural gas,36,Automatic transmission,Honda,2010,113,109
Rear-wheel drive,TRUE,15,Gasoline,22,Automatic transmission,Nissan,2011,266,288
Rear-wheel drive,TRUE,15,Gasoline,22,Automatic transmission,Nissan,2011,266,288
Four-wheel drive,TRUE,14,Gasoline,20,Automatic transmission,Nissan,2011,266,288
Four-wheel drive,TRUE,14,Gasoline,20,Automatic transmission,Nissan,2011,266,288
Rear-wheel drive,TRUE,15,Gasoline,22,Automatic transmission,Nissan,2011,266,288
Four-wheel drive,TRUE,14,Gasoline,20,Automatic transmission,Nissan,2011,266,288
Rear-wheel drive,TRUE,15,Gasoline,22,Automatic transmission,Nissan,2011,266,288
Four-wheel drive,TRUE,13,Gasoline,18,Automatic transmission,Nissan,2011,310,388
Four-wheel drive,TRUE,14,Gasoline,20,Automatic transmission,Nissan,2011,266,288
Front-wheel drive,TRUE,20,Gasoline,28,Automatic transmission,Hyundai,2011,175,169
All-wheel drive,TRUE,20,Gasoline,26,Automatic transmission,Hyundai,2011,276,248
All-wheel drive,TRUE,20,Gasoline,26,Automatic transmission,Hyundai,2011,276,248
Front-wheel drive,TRUE,20,Gasoline,26,Automatic transmission,Hyundai,2011,276,248
All-wheel drive,TRUE,20,Gasoline,25,Automatic transmission,Hyundai,2011,175,169
Front-wheel drive,TRUE,20,Gasoline,26,Automatic transmission,Hyundai,2011,276,248
Front-wheel drive,TRUE,20,Gasoline,28,Automatic transmission,Hyundai,2011,175,169
Front-wheel drive,TRUE,19,Gasoline,26,Manual transmission,Hyundai,2011,175,169
All-wheel drive,TRUE,20,Gasoline,26,Automatic transmission,Hyundai,2011,276,248
Front-wheel drive,TRUE,20,Gasoline,26,Automatic transmission,Hyundai,2011,276,248
Front-wheel drive,TRUE,20,Gasoline,26,Automatic transmission,Hyundai,2010,276,248
All-wheel drive,TRUE,20,Gasoline,26,Automatic transmission,Hyundai,2010,276,248
All-wheel drive,TRUE,21,Gasoline,27,Automatic transmission,Hyundai,2010,175,169
Front-wheel drive,TRUE,20,Gasoline,28,Automatic transmission,Hyundai,2010,175,169
Front-wheel drive,TRUE,20,Gasoline,26,Automatic transmission,Hyundai,2010,276,248
All-wheel drive,TRUE,20,Gasoline,26,Automatic transmission,Hyundai,2010,276,248
Front-wheel drive,TRUE,20,Gasoline,28,Automatic transmission,Hyundai,2010,175,169
Front-wheel drive,TRUE,19,Gasoline,26,Manual transmission,Hyundai,2010,175,169
Front-wheel drive,TRUE,18,Gasoline,28,Automatic transmission,Ford,2012,263,249
Front-wheel drive,TRUE,18,Gasoline,27,Automatic transmission,Ford,2012,263,249
All-wheel drive,TRUE,17,Gasoline,26,Automatic transmission,Ford,2012,263,249
Front-wheel drive,TRUE,18,Gasoline,27,Automatic transmission,Ford,2012,263,249
All-wheel drive,TRUE,17,Gasoline,26,Automatic transmission,Ford,2012,263,249
Front-wheel drive,TRUE,18,Gasoline,28,Automatic transmission,Ford,2011,263,249
Front-wheel drive,TRUE,18,Gasoline,27,Automatic transmission,Ford,2011,263,249
All-wheel drive,TRUE,17,Gasoline,25,Automatic transmission,Ford,2011,263,249
Front-wheel drive,TRUE,18,Gasoline,27,Automatic transmission,Ford,2011,263,249
All-wheel drive,TRUE,17,Gasoline,25,Automatic transmission,Ford,2011,263,249
Front-wheel drive,TRUE,18,Gasoline,28,Automatic transmission,Ford,2010,263,249
Front-wheel drive,TRUE,18,Gasoline,27,Automatic transmission,Ford,2010,263,249
All-wheel drive,TRUE,17,Gasoline,25,Automatic transmission,Ford,2010,263,249
Front-wheel drive,TRUE,18,Gasoline,27,Automatic transmission,Ford,2010,263,249
All-wheel drive,TRUE,17,Gasoline,25,Automatic transmission,Ford,2010,263,249
Front-wheel drive,TRUE,23,Gasoline,30,Automatic transmission,Volkswagen,2010,170,177
Front-wheel drive,TRUE,30,Diesel fuel,41,Manual transmission,Volkswagen,2010,140,236
Front-wheel drive,TRUE,23,Gasoline,33,Manual transmission,Volkswagen,2011,170,177
Front-wheel drive,TRUE,24,Gasoline,31,Automatic transmission,Volkswagen,2011,170,177
Front-wheel drive,TRUE,30,Diesel fuel,42,Manual transmission,Volkswagen,2011,140,236
Front-wheel drive,TRUE,19,Gasoline,26,Automatic transmission,Ford,2011,285,253
Front-wheel drive,TRUE,19,Gasoline,26,Automatic transmission,Ford,2011,285,253
All-wheel drive,TRUE,18,Gasoline,26,Automatic transmission,Ford,2011,285,253
Front-wheel drive,TRUE,19,Gasoline,26,Automatic transmission,Ford,2011,285,253
All-wheel drive,TRUE,18,Gasoline,26,Automatic transmission,Ford,2011,285,253
Front-wheel drive,TRUE,18,Gasoline,25,Automatic transmission,Ford,2011,305,280
All-wheel drive,TRUE,17,Gasoline,23,Automatic transmission,Ford,2011,305,280
Front-wheel drive,TRUE,24,Gasoline,31,Automatic transmission,Volkswagen,2011,170,177
Front-wheel drive,TRUE,30,Diesel fuel,42,Manual transmission,Volkswagen,2011,140,236
All-wheel drive,TRUE,16,Gasoline,24,Automatic transmission,Audi,2012,354,325
All-wheel drive,TRUE,14,Gasoline,22,Manual transmission,Audi,2012,354,325
Front-wheel drive,TRUE,19,Gasoline,27,Automatic transmission,Ford,2012,285,253
Front-wheel drive,TRUE,19,Gasoline,27,Automatic transmission,Ford,2012,285,253
All-wheel drive,TRUE,18,Gasoline,25,Automatic transmission,Ford,2012,285,253
Front-wheel drive,TRUE,19,Gasoline,27,Automatic transmission,Ford,2012,285,253
All-wheel drive,TRUE,18,Gasoline,25,Automatic transmission,Ford,2012,285,253
Front-wheel drive,TRUE,19,Gasoline,26,Automatic transmission,Ford,2012,305,280
All-wheel drive,TRUE,17,Gasoline,23,Automatic transmission,Ford,2012,305,280
Front-wheel drive,TRUE,18,Gasoline,25,Automatic transmission,Ford,2010,265,250
Front-wheel drive,TRUE,17,Gasoline,23,Automatic transmission,Ford,2010,265,250
Front-wheel drive,TRUE,18,Gasoline,25,Automatic transmission,Ford,2010,265,250
All-wheel drive,TRUE,17,Gasoline,23,Automatic transmission,Ford,2010,265,250
Front-wheel drive,TRUE,18,Gasoline,25,Automatic transmission,Ford,2010,265,250
All-wheel drive,TRUE,17,Gasoline,23,Automatic transmission,Ford,2010,265,250
Front-wheel drive,TRUE,18,Gasoline,25,Automatic transmission,Ford,2010,265,250
All-wheel drive,TRUE,17,Gasoline,23,Automatic transmission,Ford,2010,265,250
All-wheel drive,TRUE,16,Gasoline,24,Automatic transmission,Audi,2011,354,325
All-wheel drive,TRUE,14,Gasoline,22,Manual transmission,Audi,2011,354,325
Front-wheel drive,TRUE,21,Gasoline,30,Automatic transmission,Ford,2012,240,270
Front-wheel drive,TRUE,21,Gasoline,30,Automatic transmission,Ford,2012,240,270
Front-wheel drive,TRUE,21,Gasoline,30,Automatic transmission,Ford,2012,240,270
All-wheel drive,TRUE,16,Gasoline,24,Automatic transmission,Audi,2010,354,325
All-wheel drive,TRUE,14,Gasoline,22,Manual transmission,Audi,2010,354,325
All-wheel drive,TRUE,14,Gasoline,21,Automatic transmission,Audi,2011,435,398
All-wheel drive,TRUE,14,Gasoline,19,Automatic transmission,Audi,2010,435,398
Front-wheel drive,TRUE,26,Gasoline,34,Manual transmission,Honda,2011,140,128
Front-wheel drive,TRUE,25,Gasoline,36,Automatic transmission,Honda,2011,140,128
Front-wheel drive,TRUE,26,Gasoline,34,Manual transmission,Honda,2011,140,128
Front-wheel drive,TRUE,25,Gasoline,36,Automatic transmission,Honda,2011,140,128
Front-wheel drive,TRUE,26,Gasoline,34,Manual transmission,Honda,2011,140,128
Front-wheel drive,TRUE,25,Gasoline,36,Automatic transmission,Honda,2011,140,128
Front-wheel drive,TRUE,26,Gasoline,34,Manual transmission,Honda,2011,140,128
Front-wheel drive,TRUE,25,Gasoline,36,Automatic transmission,Honda,2011,140,128
Front-wheel drive,TRUE,26,Gasoline,34,Manual transmission,Honda,2011,140,128
Front-wheel drive,TRUE,25,Gasoline,36,Automatic transmission,Honda,2011,140,128
Front-wheel drive,TRUE,25,Gasoline,36,Automatic transmission,Honda,2011,140,128
Front-wheel drive,TRUE,21,Gasoline,29,Manual transmission,Honda,2011,197,139
Front-wheel drive,TRUE,24,Compressed natural gas,36,Automatic transmission,Honda,2011,113,109
Rear-wheel drive,TRUE,15,Gasoline,24,Manual transmission,Chevrolet,2012,505,470
Rear-wheel drive,TRUE,15,Gasoline,24,Manual transmission,Chevrolet,2012,505,470
Rear-wheel drive,TRUE,15,Gasoline,24,Manual transmission,Chevrolet,2012,505,470
Rear-wheel drive,TRUE,15,Gasoline,24,Manual transmission,Chevrolet,2011,505,470
Rear-wheel drive,TRUE,15,Gasoline,24,Manual transmission,Chevrolet,2011,505,470
Rear-wheel drive,TRUE,15,Gasoline,24,Manual transmission,Chevrolet,2011,505,470
Rear-wheel drive,TRUE,15,Gasoline,24,Manual transmission,Chevrolet,2010,505,470
Rear-wheel drive,TRUE,15,Gasoline,24,Manual transmission,Chevrolet,2010,505,470
Rear-wheel drive,TRUE,15,Gasoline,24,Manual transmission,Chevrolet,2010,505,470
Rear-wheel drive,TRUE,16,Gasoline,26,Manual transmission,Chevrolet,2012,430,424
Rear-wheel drive,TRUE,15,Gasoline,25,Automatic transmission,Chevrolet,2012,430,424
Rear-wheel drive,TRUE,16,Gasoline,26,Manual transmission,Chevrolet,2012,430,424
Rear-wheel drive,TRUE,15,Gasoline,25,Automatic transmission,Chevrolet,2012,430,424
Rear-wheel drive,TRUE,16,Gasoline,26,Manual transmission,Chevrolet,2012,430,424
Rear-wheel drive,TRUE,15,Gasoline,25,Automatic transmission,Chevrolet,2012,430,424
Rear-wheel drive,TRUE,16,Gasoline,26,Manual transmission,Chevrolet,2012,430,424
Rear-wheel drive,TRUE,15,Gasoline,25,Automatic transmission,Chevrolet,2012,430,424
Four-wheel drive,TRUE,14,Gasoline,20,Automatic transmission,Nissan,2010,266,288
Rear-wheel drive,TRUE,15,Gasoline,22,Automatic transmission,Nissan,2010,266,288
Rear-wheel drive,TRUE,15,Gasoline,22,Automatic transmission,Nissan,2010,266,288
Four-wheel drive,TRUE,14,Gasoline,20,Automatic transmission,Nissan,2010,266,288
Four-wheel drive,TRUE,13,Gasoline,18,Automatic transmission,Nissan,2010,310,388
Four-wheel drive,TRUE,14,Gasoline,20,Automatic transmission,Nissan,2010,266,288
Rear-wheel drive,TRUE,15,Gasoline,22,Automatic transmission,Nissan,2010,266,288
Front-wheel drive,TRUE,16,Gasoline,23,Automatic transmission,Volkswagen,2010,197,230
Front-wheel drive,TRUE,16,Gasoline,23,Automatic transmission,Volkswagen,2010,197,230
Front-wheel drive,TRUE,17,Gasoline,25,Automatic transmission,Volkswagen,2010,251,259
Front-wheel drive,TRUE,17,Gasoline,25,Automatic transmission,Volkswagen,2010,251,259
Rear-wheel drive,TRUE,15,Gasoline,22,Automatic transmission,Nissan,2009,266,288
Four-wheel drive,TRUE,14,Gasoline,20,Automatic transmission,Nissan,2009,266,288
Four-wheel drive,TRUE,14,Gasoline,20,Automatic transmission,Nissan,2009,266,288
Four-wheel drive,TRUE,13,Gasoline,18,Automatic transmission,Nissan,2009,310,388
Rear-wheel drive,TRUE,15,Gasoline,22,Automatic transmission,Nissan,2009,266,288
Four-wheel drive,TRUE,14,Gasoline,20,Automatic transmission,Nissan,2009,266,288
Four-wheel drive,TRUE,14,Gasoline,20,Automatic transmission,Nissan,2009,266,288
Rear-wheel drive,TRUE,15,Gasoline,22,Automatic transmission,Nissan,2009,266,288
Front-wheel drive,TRUE,17,Gasoline,25,Automatic transmission,Volkswagen,2011,283,260
Front-wheel drive,TRUE,17,Gasoline,25,Automatic transmission,Volkswagen,2011,283,260
Front-wheel drive,TRUE,17,Gasoline,25,Automatic transmission,Volkswagen,2011,283,260
Front-wheel drive,TRUE,17,Gasoline,25,Automatic transmission,Volkswagen,2011,283,260
Front-wheel drive,TRUE,19,Gasoline,26,Manual transmission,Volkswagen,2010,200,207
Front-wheel drive,TRUE,18,Gasoline,24,Automatic transmission,Volkswagen,2010,200,207
Front-wheel drive,TRUE,18,Gasoline,24,Automatic transmission,Volkswagen,2010,200,207
Front-wheel drive,TRUE,18,Gasoline,24,Automatic transmission,Volkswagen,2010,200,207
Front-wheel drive,TRUE,24,Gasoline,35,Manual transmission,Hyundai,2012,198,184
Front-wheel drive,TRUE,24,Gasoline,35,Automatic transmission,Hyundai,2012,190,179
Front-wheel drive,TRUE,24,Gasoline,35,Automatic transmission,Hyundai,2012,200,186
Front-wheel drive,TRUE,24,Gasoline,35,Automatic transmission,Hyundai,2012,190,179
Front-wheel drive,TRUE,24,Gasoline,35,Automatic transmission,Hyundai,2012,198,184
Front-wheel drive,TRUE,22,Gasoline,34,Automatic transmission,Hyundai,2012,274,269
Front-wheel drive,TRUE,24,Gasoline,35,Automatic transmission,Hyundai,2012,198,184
Front-wheel drive,TRUE,22,Gasoline,34,Automatic transmission,Hyundai,2012,274,269
Front-wheel drive,TRUE,22,Gasoline,35,Automatic transmission,Hyundai,2011,200,186
Front-wheel drive,TRUE,22,Gasoline,33,Automatic transmission,Hyundai,2011,274,269
Front-wheel drive,TRUE,22,Gasoline,35,Automatic transmission,Hyundai,2011,198,184
Front-wheel drive,TRUE,24,Gasoline,35,Manual transmission,Hyundai,2011,198,184
Front-wheel drive,TRUE,22,Gasoline,35,Automatic transmission,Hyundai,2011,274,269
Front-wheel drive,TRUE,22,Gasoline,35,Automatic transmission,Hyundai,2011,190,179
Front-wheel drive,TRUE,22,Gasoline,35,Automatic transmission,Hyundai,2011,190,179
Front-wheel drive,TRUE,22,Gasoline,35,Automatic transmission,Hyundai,2011,200,186
Front-wheel drive,TRUE,22,Gasoline,32,Automatic transmission,Hyundai,2010,175,168
Front-wheel drive,TRUE,21,Gasoline,32,Manual transmission,Hyundai,2010,175,168
Front-wheel drive,TRUE,22,Gasoline,32,Automatic transmission,Hyundai,2010,168,163
Front-wheel drive,TRUE,22,Gasoline,32,Automatic transmission,Hyundai,2010,168,163
Front-wheel drive,TRUE,22,Gasoline,32,Automatic transmission,Hyundai,2010,175,168
Front-wheel drive,TRUE,22,Gasoline,32,Automatic transmission,Hyundai,2010,175,168
Front-wheel drive,TRUE,22,Gasoline,32,Automatic transmission,Hyundai,2010,168,163
Front-wheel drive,TRUE,19,Gasoline,29,Automatic transmission,Hyundai,2010,249,229
Front-wheel drive,TRUE,19,Gasoline,29,Automatic transmission,Hyundai,2010,249,229
Front-wheel drive,TRUE,31,Gasoline,37,Manual transmission,Honda,2011,122,128
Front-wheel drive,TRUE,31,Gasoline,37,Manual transmission,Honda,2011,122,128
Front-wheel drive,TRUE,17,Gasoline,22,Automatic transmission,Hyundai,2011,260,257
Front-wheel drive,TRUE,17,Gasoline,22,Automatic transmission,Hyundai,2011,260,257
All-wheel drive,TRUE,16,Gasoline,21,Automatic transmission,Hyundai,2011,260,257
All-wheel drive,TRUE,16,Gasoline,21,Automatic transmission,Hyundai,2011,260,257
All-wheel drive,TRUE,16,Gasoline,22,Automatic transmission,Hyundai,2010,260,257
Front-wheel drive,TRUE,17,Gasoline,23,Automatic transmission,Hyundai,2010,260,257
All-wheel drive,TRUE,16,Gasoline,22,Automatic transmission,Hyundai,2010,260,257
Front-wheel drive,TRUE,17,Gasoline,23,Automatic transmission,Hyundai,2010,260,257
Front-wheel drive,TRUE,27,Gasoline,33,Manual transmission,Honda,2011,117,106
Front-wheel drive,TRUE,28,Gasoline,35,Automatic transmission,Honda,2011,117,106
Front-wheel drive,TRUE,27,Gasoline,33,Manual transmission,Honda,2011,117,106
Front-wheel drive,TRUE,27,Gasoline,33,Automatic transmission,Honda,2011,117,106
Front-wheel drive,TRUE,35,Gasoline,40,Automatic transmission,Hyundai,2011,166,154
Front-wheel drive,TRUE,23,Gasoline,31,Automatic transmission,Hyundai,2012,165,146
Front-wheel drive,TRUE,22,Gasoline,32,Automatic transmission,Hyundai,2012,176,168
All-wheel drive,TRUE,21,Gasoline,28,Automatic transmission,Hyundai,2012,170,163
Front-wheel drive,TRUE,22,Gasoline,32,Automatic transmission,Hyundai,2012,176,168
All-wheel drive,TRUE,21,Gasoline,28,Automatic transmission,Hyundai,2012,170,163
Front-wheel drive,TRUE,22,Gasoline,32,Automatic transmission,Hyundai,2012,170,163
Front-wheel drive,TRUE,20,Gasoline,27,Manual transmission,Hyundai,2012,165,146
All-wheel drive,TRUE,21,Gasoline,28,Automatic transmission,Hyundai,2012,176,168
Front-wheel drive,TRUE,22,Gasoline,32,Automatic transmission,Hyundai,2012,170,163
All-wheel drive,TRUE,21,Gasoline,28,Automatic transmission,Hyundai,2012,170,163
Front-wheel drive,TRUE,20,Gasoline,28,Automatic transmission,Mazda,2011,161,161
Front-wheel drive,TRUE,20,Gasoline,28,Automatic transmission,Mazda,2011,161,161
Front-wheel drive,TRUE,18,Gasoline,24,Automatic transmission,Mazda,2011,244,258
All-wheel drive,TRUE,17,Gasoline,21,Automatic transmission,Mazda,2011,244,258
Front-wheel drive,TRUE,20,Gasoline,28,Automatic transmission,Mazda,2011,161,161
Front-wheel drive,TRUE,18,Gasoline,24,Automatic transmission,Mazda,2011,244,258
All-wheel drive,TRUE,17,Gasoline,21,Automatic transmission,Mazda,2011,244,258
Front-wheel drive,TRUE,17,Gasoline,24,Automatic transmission,Ford,2012,262,248
Front-wheel drive,TRUE,17,Gasoline,24,Automatic transmission,Ford,2012,262,248
All-wheel drive,TRUE,16,Gasoline,23,Automatic transmission,Ford,2012,262,248
Front-wheel drive,TRUE,17,Gasoline,24,Automatic transmission,Ford,2012,262,248
All-wheel drive,TRUE,16,Gasoline,23,Automatic transmission,Ford,2012,262,248
All-wheel drive,TRUE,16,Gasoline,22,Automatic transmission,Ford,2012,355,350
Front-wheel drive,TRUE,17,Gasoline,24,Automatic transmission,Ford,2012,262,248
All-wheel drive,TRUE,16,Gasoline,23,Automatic transmission,Ford,2012,262,248
All-wheel drive,TRUE,16,Gasoline,22,Automatic transmission,Ford,2012,355,350
Front-wheel drive,TRUE,27,Gasoline,33,Manual transmission,Honda,2010,117,106
Front-wheel drive,TRUE,28,Gasoline,35,Automatic transmission,Honda,2010,117,106
Front-wheel drive,TRUE,27,Gasoline,33,Manual transmission,Honda,2010,117,106
Front-wheel drive,TRUE,27,Gasoline,33,Automatic transmission,Honda,2010,117,106
Front-wheel drive,TRUE,17,Gasoline,24,Automatic transmission,Ford,2011,262,248
Front-wheel drive,TRUE,17,Gasoline,24,Automatic transmission,Ford,2011,262,248
All-wheel drive,TRUE,16,Gasoline,22,Automatic transmission,Ford,2011,262,248
All-wheel drive,TRUE,16,Gasoline,22,Automatic transmission,Ford,2011,355,350
Front-wheel drive,TRUE,17,Gasoline,24,Automatic transmission,Ford,2011,262,248
All-wheel drive,TRUE,16,Gasoline,22,Automatic transmission,Ford,2011,262,248
All-wheel drive,TRUE,16,Gasoline,22,Automatic transmission,Ford,2011,355,350
Front-wheel drive,TRUE,17,Gasoline,24,Automatic transmission,Ford,2011,262,248
All-wheel drive,TRUE,16,Gasoline,22,Automatic transmission,Ford,2011,262,248
All-wheel drive,TRUE,16,Gasoline,22,Automatic transmission,Ford,2011,355,350
Front-wheel drive,TRUE,20,Gasoline,28,Automatic transmission,Mazda,2010,161,161
Front-wheel drive,TRUE,20,Gasoline,28,Automatic transmission,Mazda,2010,161,161
Front-wheel drive,TRUE,18,Gasoline,25,Automatic transmission,Mazda,2010,244,258
All-wheel drive,TRUE,17,Gasoline,23,Automatic transmission,Mazda,2010,244,258
Front-wheel drive,TRUE,18,Gasoline,25,Automatic transmission,Mazda,2010,244,258
All-wheel drive,TRUE,17,Gasoline,23,Automatic transmission,Mazda,2010,244,258
Front-wheel drive,TRUE,23,Gasoline,31,Automatic transmission,Hyundai,2011,165,146
Front-wheel drive,TRUE,22,Gasoline,31,Automatic transmission,Hyundai,2011,176,168
Front-wheel drive,TRUE,22,Gasoline,31,Automatic transmission,Hyundai,2011,170,163
All-wheel drive,TRUE,21,Gasoline,28,Automatic transmission,Hyundai,2011,176,168
All-wheel drive,TRUE,21,Gasoline,28,Automatic transmission,Hyundai,2011,170,163
All-wheel drive,TRUE,21,Gasoline,28,Automatic transmission,Hyundai,2011,176,168
Front-wheel drive,TRUE,22,Gasoline,31,Automatic transmission,Hyundai,2011,170,163
Front-wheel drive,TRUE,20,Gasoline,27,Manual transmission,Hyundai,2011,165,146
All-wheel drive,TRUE,21,Gasoline,28,Automatic transmission,Hyundai,2011,170,163
Front-wheel drive,TRUE,22,Gasoline,31,Automatic transmission,Hyundai,2011,176,168
All-wheel drive,TRUE,11,Gasoline,20,Manual transmission,Audi,2012,430,316
All-wheel drive,TRUE,12,Gasoline,19,Manual transmission,Audi,2012,525,391
Front-wheel drive,TRUE,17,Gasoline,24,Automatic transmission,Ford,2010,262,248
Front-wheel drive,TRUE,17,Gasoline,24,Automatic transmission,Ford,2010,262,248
All-wheel drive,TRUE,16,Gasoline,22,Automatic transmission,Ford,2010,262,248
All-wheel drive,TRUE,16,Gasoline,22,Automatic transmission,Ford,2010,355,350
Front-wheel drive,TRUE,17,Gasoline,24,Automatic transmission,Ford,2010,262,248
All-wheel drive,TRUE,16,Gasoline,22,Automatic transmission,Ford,2010,262,248
All-wheel drive,TRUE,16,Gasoline,22,Automatic transmission,Ford,2010,355,350
Front-wheel drive,TRUE,17,Gasoline,24,Automatic transmission,Mazda,2011,273,270
All-wheel drive,TRUE,16,Gasoline,22,Automatic transmission,Mazda,2011,273,270
Front-wheel drive,TRUE,17,Gasoline,24,Automatic transmission,Mazda,2011,273,270
All-wheel drive,TRUE,16,Gasoline,22,Automatic transmission,Mazda,2011,273,270
Front-wheel drive,TRUE,17,Gasoline,24,Automatic transmission,Mazda,2011,273,270
All-wheel drive,TRUE,16,Gasoline,22,Automatic transmission,Mazda,2011,273,270
Front-wheel drive,TRUE,18,Gasoline,26,Manual transmission,Volkswagen,2011,200,207
Front-wheel drive,TRUE,20,Gasoline,25,Automatic transmission,Volkswagen,2011,200,207
Front-wheel drive,TRUE,20,Gasoline,25,Automatic transmission,Volkswagen,2011,200,207
Front-wheel drive,TRUE,20,Gasoline,25,Automatic transmission,Volkswagen,2011,200,207
Four-wheel drive,TRUE,14,Gasoline,19,Automatic transmission,Volkswagen,2010,280,265
Four-wheel drive,TRUE,18,Diesel fuel,25,Automatic transmission,Volkswagen,2010,225,406
All-wheel drive,TRUE,14,Gasoline,21,Automatic transmission,Mercedes,2010,382,391
Rear-wheel drive,TRUE,11,Gasoline,17,Automatic transmission,Mercedes-Benz,2010,510,612
Rear-wheel drive,TRUE,11,Gasoline,18,Automatic transmission,AMG,2010,518,465
Rear-wheel drive,TRUE,11,Gasoline,17,Automatic transmission,AMG,2010,621,738
Rear-wheel drive,TRUE,18,Gasoline,28,Manual transmission,BMW Motorrad,2011,230,200
Rear-wheel drive,TRUE,18,Gasoline,27,Automatic transmission,BMW Motorrad,2011,230,200
Rear-wheel drive,TRUE,19,Gasoline,28,Manual transmission,BMW,2011,300,300
Rear-wheel drive,TRUE,12,Gasoline,18,Automatic transmission,Mercedes-Benz,2011,510,612
Rear-wheel drive,TRUE,15,Gasoline,21,Automatic transmission,AMG,2011,536,590
All-wheel drive,TRUE,15,Gasoline,23,Automatic transmission,Mercedes-Benz,2011,429,516
Rear-wheel drive,TRUE,12,Gasoline,18,Automatic transmission,AMG,2011,621,738
Rear-wheel drive,TRUE,18,Gasoline,25,Automatic transmission,BMW Motorrad,2010,300,300
Rear-wheel drive,TRUE,18,Gasoline,25,Manual transmission,BMW Motorrad,2010,300,300
Rear-wheel drive,TRUE,18,Gasoline,28,Manual transmission,BMW Motorrad,2010,230,200
Rear-wheel drive,TRUE,18,Gasoline,28,Automatic transmission,BMW Motorrad,2010,230,200
Front-wheel drive,TRUE,23,Gasoline,31,Automatic transmission,Hyundai,2010,176,168
Front-wheel drive,TRUE,22,Gasoline,30,Manual transmission,Hyundai,2010,176,168
Four-wheel drive,TRUE,21,Gasoline,28,Automatic transmission,Hyundai,2010,170,163
Four-wheel drive,TRUE,21,Gasoline,28,Automatic transmission,Hyundai,2010,176,168
Four-wheel drive,TRUE,21,Gasoline,28,Automatic transmission,Hyundai,2010,176,168
Four-wheel drive,TRUE,21,Gasoline,28,Automatic transmission,Hyundai,2010,170,163
Front-wheel drive,TRUE,23,Gasoline,31,Automatic transmission,Hyundai,2010,170,163
Front-wheel drive,TRUE,23,Gasoline,31,Automatic transmission,Hyundai,2010,176,168
Front-wheel drive,TRUE,23,Gasoline,31,Automatic transmission,Hyundai,2010,170,163
Rear-wheel drive,TRUE,20,Gasoline,28,Manual transmission,BMW Motorrad,2011,300,300
Rear-wheel drive,TRUE,18,Gasoline,28,Automatic transmission,BMW Motorrad,2011,230,200
Rear-wheel drive,TRUE,18,Gasoline,28,Manual transmission,BMW Motorrad,2011,230,200
Rear-wheel drive,TRUE,14,Gasoline,21,Automatic transmission,Mercedes,2010,382,391
Rear-wheel drive,TRUE,12,Gasoline,18,Automatic transmission,AMG,2010,507,465
Rear-wheel drive,TRUE,16,Gasoline,26,Manual transmission,Chevrolet,2011,430,424
Rear-wheel drive,TRUE,15,Gasoline,25,Automatic transmission,Chevrolet,2011,430,424
Rear-wheel drive,TRUE,16,Gasoline,26,Manual transmission,Chevrolet,2011,430,424
Rear-wheel drive,TRUE,15,Gasoline,25,Automatic transmission,Chevrolet,2011,430,424
Rear-wheel drive,TRUE,16,Gasoline,26,Manual transmission,Chevrolet,2011,430,424
Rear-wheel drive,TRUE,15,Gasoline,25,Automatic transmission,Chevrolet,2011,430,424
Rear-wheel drive,TRUE,16,Gasoline,26,Manual transmission,Chevrolet,2011,430,424
Rear-wheel drive,TRUE,15,Gasoline,25,Automatic transmission,Chevrolet,2011,430,424
Rear-wheel drive,TRUE,12,Gasoline,18,Automatic transmission,Mercedes-AMG,2011,507,465
Rear-wheel drive,TRUE,16,Gasoline,26,Manual transmission,Chevrolet,2010,430,424
Rear-wheel drive,TRUE,15,Gasoline,25,Automatic transmission,Chevrolet,2010,430,424
Rear-wheel drive,TRUE,16,Gasoline,26,Manual transmission,Chevrolet,2010,430,424
Rear-wheel drive,TRUE,15,Gasoline,25,Automatic transmission,Chevrolet,2010,430,424
Rear-wheel drive,TRUE,16,Gasoline,26,Manual transmission,Chevrolet,2010,430,424
Rear-wheel drive,TRUE,15,Gasoline,25,Automatic transmission,Chevrolet,2010,430,424
Rear-wheel drive,TRUE,16,Gasoline,26,Manual transmission,Chevrolet,2010,430,424
