,Table 3. Inequality-adjusted Human Development Index ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Human Development Index (HDI),,Inequality-adjusted HDI (IHDI),,,,,,Coefficient of human inequality,,Inequality in life expectancy,,Inequality-adjusted life expectancy index,,Inequality in education,a,Inequality-adjusted education index,,Inequality in income,a,Inequality-adjusted income index,,Income inequality,,,,,
HDI rank,Country,Value,,Value,,Overall loss (%),,Difference from HDI rank,b,,,(%),,Value,,(%),,Value,,(%),,Value,,Quintile ratio,,Palma ratio ,,Gini coefficient,
,,2015,,2015,,2015,,2015,,2015,,2010–2015,c,2015,,2015,d,2015,,2015,d,2015,,2010-2015,e,2010-2015,e,2010-2015,e
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Slovenia,0.890302824230092,,0.837672524226138,,5.91150545315498,,9,,5.82847666666667,,3.6,,0.898373846153846,,2.55129,,0.863358431813856,,11.33414,,0.757834857689725,,3.74,,0.88,,25.59,
26,Italy,0.886552110945566,,0.784487780203948,,11.5125021396384,,-3,,11.2058,,3,,0.945197846153846,,9.85659,,0.73368778370546,,20.76081,,0.696184801593028,,6.69,,1.42,,35.16,
27,Spain,0.884153254627493,,0.79095049919939,,10.5414706036875,,1,,10.1397433333333,,3.5,,0.931848538461538,,5.07123,,0.776550774622322,,21.848,,0.68380571762656,,7.26,,1.46,,35.89,
28,Czech Republic,0.877841924484264,,0.830142743835046,,5.43368678560675,,10,,5.33902666666667,,3.5,,0.872582692307692,,1.37273,,0.866077289838833,,11.14435,,0.756998612011572,,3.78,,0.92,,26.13,
29,Greece,0.86587309619735,,0.758089493757286,,12.447967596339,,-6,,12.1583133333333,,3.7,,0.904790353846154,,11.6945,,0.732564570665556,,21.08044,,0.657305945921711,,7.62,,1.55,,36.68,
30,Brunei Darussalam,0.864936709580829,,..,,..,,..,,..,,4.4,,0.868033292307692,,..,,..,,..,,..,,..,,..,,..,
30,Estonia,0.865118379943937,,0.788025124682477,,8.9112954999819,,3,,8.61609666666667,,4.8,,0.835006523076923,,2.33291,,0.856206371091517,,18.71538,,0.684465983911138,,5.69,,1.26,,33.15,
32,Andorra,0.85845165619693,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
33,Cyprus,0.855645845739221,,0.762303222673544,,10.9090254490788,,-2,,10.7712733333333,,4,,0.891057230769231,,12.40564,,0.688355557697267,,15.90818,,0.722212241336595,,5.35,,1.4,,34.31,
33,Malta,0.855850774908432,,0.786343201176528,,8.12145946112409,,3,,8.03321333333333,,4.5,,0.892205076923077,,5.98891,,0.734335456850867,,13.61073,,0.742125270161018,,..,,..,,..,
33,Qatar,0.855530726608706,,..,,..,,..,,..,,6.1,,0.842543030769231,,..,,..,,..,,..,,..,,..,,..,
